Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
1280,"1280.9739","Staphylococcus aureus C00002623","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.18855","Streptococcus pneumoniae strain GPSC24","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.19360","Streptococcus pneumoniae strain GPSC11","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1352,"1352.3427","Enterococcus faecium strain CVM N60299F","tetracycline",,"=4","=","4","mg/L","clsi","2015",,"bioMérieux",,,,,,"Laboratory Method","29617860","29617860"
1313,"1313.5498","Streptococcus pneumoniae strain R34-3048","tetracycline",,"<=0.50","<=","0.50","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1280,"1280.9487","Staphylococcus aureus C00001231","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.9126","Streptococcus pneumoniae strain 2245STDY5609164","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8440","Staphylococcus aureus C00008972","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.18632","Streptococcus pneumoniae strain GPSC18","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
170573,"170573.15","Staphylococcus pettenkoferi strain 268","tetracycline","Susceptible","1","<=","1","mg/L","MIC",,"Vitek","BiomŽrieux","CLSI",,,,,"Laboratory Method",,
1313,"1313.19105","Streptococcus pneumoniae strain GPSC3","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.21094","Streptococcus pneumoniae strain GPSC34","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.5678","Streptococcus pneumoniae strain 0012+25031","tetracycline","Resistant",,,,,"MIC",,,,,,,,,"Laboratory Method",,"24957517"
1313,"1313.20784","Streptococcus pneumoniae strain GPSC96","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.8998","Streptococcus pneumoniae strain 2245STDY5609134","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.8796","Streptococcus pneumoniae strain 2245STDY5819519","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.20714","Streptococcus pneumoniae strain GPSC37","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.9750","Staphylococcus aureus C00003101","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1352,"1352.3443","Enterococcus faecium strain CVM N59754F","tetracycline",,"=16","=","16","mg/L","clsi","2015",,"bioMérieux",,,,,,"Laboratory Method","29617860","29617860"
1313,"1313.20707","Streptococcus pneumoniae strain GPSC17","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.19630","Streptococcus pneumoniae strain GPSC5","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1069624,"1069624.3","Streptococcus pneumoniae GA04216","tetracycline","Susceptible","1","=","1",,,,,,,,,,,"Laboratory Method",,
1313,"1313.20828","Streptococcus pneumoniae strain GPSC207","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8591","Staphylococcus aureus C00003318","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.9911","Streptococcus pneumoniae strain SA21","tetracycline",,"4",,"4","mg/L","MIC",,,,,,,,,"Laboratory Method",,
1313,"1313.6283","Streptococcus pneumoniae strain 333793","tetracycline",,"0.25",,"0.25","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1313,"1313.19126","Streptococcus pneumoniae strain GPSC2","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.20801","Streptococcus pneumoniae strain GPSC13","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.6211","Streptococcus pneumoniae strain 369820","tetracycline",,"0.5",,"0.5","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1313,"1313.19801","Streptococcus pneumoniae strain GPSC23","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.19359","Streptococcus pneumoniae strain GPSC8","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.17419","Streptococcus pneumoniae strain SC14-0908-P","tetracycline","Susceptible","1","<=","1","mg/L","MIC",,"Sensititre","Trek","CLSI",,,,,"Laboratory Method",,
1313,"1313.9738","Streptococcus pneumoniae strain 11919","tetracycline",,"1",,"1","mg/L","MIC",,,,,,,,,"Laboratory Method",,
1313,"1313.18925","Streptococcus pneumoniae strain GPSC10","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1283,"1283.390","Staphylococcus haemolyticus 7067_4_64","tetracycline","Susceptible",,,,,"MIC",,"E-test","AB BIODISK","EUCAST",2014,,,,"Laboratory Method",,"25038069"
1313,"1313.20630","Streptococcus pneumoniae strain GPSC14","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.17196","Streptococcus pneumoniae strain 155","tetracycline","Susceptible","0.5","==","0.5","mg/L","MIC",,"Trek sensititre","Trek","CLSI",,,,,"Laboratory Method",,
1280,"1280.8595","Staphylococcus aureus C00003311","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.9072","Streptococcus pneumoniae strain 2245STDY5819521","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.9378","Staphylococcus aureus WAU_21","tetracycline","Resistant",,,,,"disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"25903077"
1313,"1313.6094","Streptococcus pneumoniae strain R34-3026","tetracycline",,">4.00",">","4.00","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1283,"1283.472","Staphylococcus haemolyticus 7068_7_67","tetracycline","Susceptible",,,,,"MIC",,"E-test","AB BIODISK","EUCAST",2014,,,,"Laboratory Method",,"25038069"
1313,"1313.17215","Streptococcus pneumoniae strain 172","tetracycline","Susceptible","0.25","<=","0.25","mg/L","MIC",,"Trek sensititre","Trek","CLSI",,,,,"Laboratory Method",,
1280,"1280.8812","Staphylococcus aureus C00001102","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.8133","Staphylococcus aureus C00012805","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.21098","Streptococcus pneumoniae strain GPSC5","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1351,"1351.792","Enterococcus faecalis strain CVM N59611F","tetracycline",,"<=1","<=","1","mg/L","clsi","2015",,"bioMérieux",,,,,,"Laboratory Method","29617860","29617860"
1280,"1280.10004","Staphylococcus aureus C00013244","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.19505","Streptococcus pneumoniae strain GPSC41","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.19070","Streptococcus pneumoniae strain GPSC56","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.9313","Staphylococcus aureus CGH3_10","tetracycline","Resistant",,,,,"disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"25903077"
1280,"1280.9882","Staphylococcus aureus C00003412","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.10007","Staphylococcus aureus C00013247","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.9213","Staphylococcus aureus 023_01","tetracycline","Resistant",,,,,"disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"25903077"
1313,"1313.8721","Streptococcus pneumoniae strain 2245STDY5609135","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1283,"1283.456","Staphylococcus haemolyticus 7068_7_51","tetracycline","Susceptible",,,,,"MIC",,"E-test","AB BIODISK","EUCAST",2014,,,,"Laboratory Method",,"25038069"
1280,"1280.8162","Staphylococcus aureus C00012835","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.19219","Streptococcus pneumoniae strain GPSC33","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.18852","Streptococcus pneumoniae strain GPSC5","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.6170","Streptococcus pneumoniae strain 67094","tetracycline",,"0.25",,"0.25","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1283,"1283.365","Staphylococcus haemolyticus 7067_4_38","tetracycline","Susceptible",,,,,"MIC",,"E-test","AB BIODISK","EUCAST",2014,,,,"Laboratory Method",,"25038069"
1313,"1313.9237","Streptococcus pneumoniae strain 2245STDY5819469","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.17299","Streptococcus pneumoniae strain 86","tetracycline","Susceptible","0.5","==","0.5","mg/L","MIC",,"Trek sensititre","Trek","CLSI",,,,,"Laboratory Method",,
1313,"1313.21030","Streptococcus pneumoniae strain GPSC55","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8173","Staphylococcus aureus C00013166","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.20320","Streptococcus pneumoniae strain GPSC55","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8346","Staphylococcus aureus C00013403","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.17323","Streptococcus pneumoniae strain SC10-1181-P","tetracycline","Susceptible","1","<=","1","mg/L","MIC",,"Sensititre","Trek","CLSI",,,,,"Laboratory Method",,
1280,"1280.9782","Staphylococcus aureus C00003171","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.17394","Streptococcus pneumoniae strain SC13-2480-P","tetracycline","Susceptible","1","<=","1","mg/L","MIC",,"Sensititre","Trek","CLSI",,,,,"Laboratory Method",,
1280,"1280.9188","Staphylococcus aureus 001_10","tetracycline","Resistant",,,,,"disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"25903077"
1283,"1283.355","Staphylococcus haemolyticus 7067_4_25","tetracycline","Susceptible",,,,,"MIC",,"E-test","AB BIODISK","EUCAST",2014,,,,"Laboratory Method",,"25038069"
760755,"760755.3","Streptococcus pneumoniae GA07643","tetracycline","Susceptible","<=0.25","<=","0.25",,,,,,,,,,,"Laboratory Method",,
1351,"1351.849","Enterococcus faecalis strain CVM N54564","tetracycline",,">32",">","32","mg/L","clsi","2015",,"bioMérieux",,,,,,"Laboratory Method","29617860","29617860"
1280,"1280.9788","Staphylococcus aureus C00003179","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.8622","Staphylococcus aureus C00003402","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.7948","Staphylococcus aureus C00001150","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.19084","Streptococcus pneumoniae strain GPSC54","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.9440","Staphylococcus aureus C00001115","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.19260","Streptococcus pneumoniae strain GPSC25","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.9271","Streptococcus pneumoniae strain 2245STDY5699038","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.9815","Streptococcus pneumoniae strain 11875","tetracycline",,"1",,"1","mg/L","MIC",,,,,,,,,"Laboratory Method",,
1280,"1280.9803","Staphylococcus aureus C00003208","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.19029","Streptococcus pneumoniae strain GPSC10","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.9643","Streptococcus pneumoniae strain SB50","tetracycline",,"0.125",,"0.125","mg/L","MIC",,,,,,,,,"Laboratory Method",,
1280,"1280.8619","Staphylococcus aureus C00003260","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.8645","Streptococcus pneumoniae strain 2245STDY5699049","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.16436","Staphylococcus aureus strain 0257-2201-2015","tetracycline","Susceptible","<=1","<=","1","mg/L","MIC",,"Phoenix","Becton Dickinson","EUCAST",,,,,"Laboratory Method",,
1280,"1280.9885","Staphylococcus aureus C00003421","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1349,"1349.111","Streptococcus uberis PE24","tetracycline",,"0.5",,"0.5","mg/L","MIC",,"Sensititre microdilution system and mastitis plate","Sensititre",,,,,,"Laboratory Method",,
1313,"1313.20290","Streptococcus pneumoniae strain GPSC5","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.19873","Streptococcus pneumoniae strain GPSC9","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.9929","Streptococcus pneumoniae strain SB3","tetracycline",,"64",,"64","mg/L","MIC",,,,,,,,,"Laboratory Method",,
1280,"1280.7415","Staphylococcus aureus C00003304","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
760869,"760869.3","Streptococcus pneumoniae 7286-06","tetracycline","Resistant","8","=","8",,,,,,,,,,,"Laboratory Method",,
1313,"1313.19897","Streptococcus pneumoniae strain GPSC32","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.10009","Staphylococcus aureus C00013313","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1351,"1351.834","Enterococcus faecalis strain CVM N55706","tetracycline",,">32",">","32","mg/L","clsi","2015",,"bioMérieux",,,,,,"Laboratory Method","29617860","29617860"
1313,"1313.8232","Streptococcus pneumoniae strain 2245STDY5609019","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.17185","Streptococcus pneumoniae strain 145","tetracycline","Susceptible","0.5","==","0.5","mg/L","MIC",,"Trek sensititre","Trek","CLSI",,,,,"Laboratory Method",,
1351,"1351.832","Enterococcus faecalis strain CVM N52454","tetracycline",,">32",">","32","mg/L","clsi","2015",,"bioMérieux",,,,,,"Laboratory Method","29617860","29617860"
1313,"1313.19245","Streptococcus pneumoniae strain GPSC9","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.19716","Streptococcus pneumoniae strain GPSC18","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.9124","Streptococcus pneumoniae strain 2245STDY5609157","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.9934","Staphylococcus aureus C00012753","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.18710","Streptococcus pneumoniae strain GPSC39","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.19159","Streptococcus pneumoniae strain GPSC17","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.9402","Staphylococcus aureus WAU_36","tetracycline","Resistant",,,,,"disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"25903077"
1313,"1313.9759","Streptococcus pneumoniae strain VIII-6","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,
1280,"1280.9986","Staphylococcus aureus C00013198","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.8138","Staphylococcus aureus C00012810","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.18889","Streptococcus pneumoniae strain GPSC3","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.6759","Streptococcus pneumoniae strain 08B08624","tetracycline","Resistant",,,,,"MIC",,,,,,,,,"Laboratory Method",,
1313,"1313.20316","Streptococcus pneumoniae strain GPSC313","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.7446","Staphylococcus aureus C00007075","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.20397","Streptococcus pneumoniae strain GPSC6","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.20435","Streptococcus pneumoniae strain GPSC4","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.8854","Streptococcus pneumoniae strain 2245STDY5699039","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.5990","Streptococcus pneumoniae strain 209464","tetracycline",,"0.25",,"0.25","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1313,"1313.9038","Streptococcus pneumoniae strain 2245STDY5982510","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.20335","Streptococcus pneumoniae strain GPSC6","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.6061","Streptococcus pneumoniae strain R34-3049","tetracycline",,"<=0.50","<=","0.50","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1313,"1313.5865","Streptococcus pneumoniae strain spnIC104","tetracycline","Resistant",,,,,"MIC",,,,,,,,,"Laboratory Method",,"24957517"
1313,"1313.19899","Streptococcus pneumoniae strain GPSC132","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1349,"1349.223","Streptococcus uberis PE72","tetracycline",,"0.5",,"0.5","mg/L","MIC",,"Sensititre microdilution system and mastitis plate","Sensititre",,,,,,"Laboratory Method",,
1313,"1313.19393","Streptococcus pneumoniae strain GPSC9","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8212","Staphylococcus aureus C00013205","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.8234","Streptococcus pneumoniae strain 2245STDY5609024","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.19249","Streptococcus pneumoniae strain GPSC5","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.8857","Streptococcus pneumoniae strain 2245STDY5699066","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8742","Staphylococcus aureus C00003384","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.20001","Streptococcus pneumoniae strain GPSC11","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8392","Staphylococcus aureus C00000838","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.20282","Streptococcus pneumoniae strain GPSC32","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.9911","Staphylococcus aureus C00008949","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.6704","Streptococcus pneumoniae strain PT814","tetracycline","Resistant",,,,,"MIC",,,,,,,,,"Laboratory Method",,
1313,"1313.20682","Streptococcus pneumoniae strain GPSC37","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.6179","Streptococcus pneumoniae strain 268660","tetracycline",,"0.25",,"0.25","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1313,"1313.17267","Streptococcus pneumoniae strain 55","tetracycline","Susceptible","0.25","<=","0.25","mg/L","MIC",,"Trek sensititre","Trek","CLSI",,,,,"Laboratory Method",,
1313,"1313.19675","Streptococcus pneumoniae strain GPSC2","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.6159","Streptococcus pneumoniae strain 08B01507","tetracycline","Intermediate",,,,,"MIC",,,,,,,,,"Laboratory Method",,
1313,"1313.17702","Streptococcus pneumoniae strain 2245STDY5562278 strain GPSC31","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.9766","Staphylococcus aureus C00003139","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.20972","Streptococcus pneumoniae strain GPSC2","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.19869","Streptococcus pneumoniae strain GPSC10","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.19340","Streptococcus pneumoniae strain GPSC24","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.9994","Staphylococcus aureus C00013218","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.17272","Streptococcus pneumoniae strain 60","tetracycline","Resistant","8",">","8","mg/L","MIC",,"Trek sensititre","Trek","CLSI",,,,,"Laboratory Method",,
1351,"1351.801","Enterococcus faecalis strain CVM N59860F","tetracycline",,">32",">","32","mg/L","clsi","2015",,"bioMérieux",,,,,,"Laboratory Method","29617860","29617860"
760871,"760871.3","Streptococcus pneumoniae 5652-06","tetracycline","Resistant","8","=","8",,,,,,,,,,,"Laboratory Method",,
1313,"1313.9736","Streptococcus pneumoniae strain 11876","tetracycline",,"1",,"1","mg/L","MIC",,,,,,,,,"Laboratory Method",,
1280,"1280.8400","Staphylococcus aureus C00003164","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.20531","Streptococcus pneumoniae strain GPSC44","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.9580","Streptococcus pneumoniae strain HK_P57","tetracycline",,"8",,"8","mg/L","MIC",,,,,,,,,"Laboratory Method",,
1313,"1313.9851","Streptococcus pneumoniae strain 61_CMN","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,
1313,"1313.19662","Streptococcus pneumoniae strain GPSC41","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.9760","Streptococcus pneumoniae strain X-8","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,
1313,"1313.8233","Streptococcus pneumoniae strain 2245STDY5609021","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.19523","Streptococcus pneumoniae strain GPSC2","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.19094","Streptococcus pneumoniae strain GPSC8","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.19346","Streptococcus pneumoniae strain GPSC43","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8066","Staphylococcus aureus C00002624","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.8657","Staphylococcus aureus C00003122","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.8147","Staphylococcus aureus C00012820","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.20795","Streptococcus pneumoniae strain GPSC11","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.8794","Streptococcus pneumoniae strain 2245STDY5609146","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.9634","Streptococcus pneumoniae strain 135-94","tetracycline",,"12",,"12","mg/L","MIC",,,,,,,,,"Laboratory Method",,
1313,"1313.19092","Streptococcus pneumoniae strain GPSC17","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8836","Staphylococcus aureus C00001248","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.8766","Staphylococcus aureus C00007069","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1351,"1351.791","Enterococcus faecalis strain CVM N59689F","tetracycline",,"=16","=","16","mg/L","clsi","2015",,"bioMérieux",,,,,,"Laboratory Method","29617860","29617860"
1313,"1313.20045","Streptococcus pneumoniae strain GPSC55","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1280,"1280.8586","Staphylococcus aureus C00003148","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.5683","Streptococcus pneumoniae strain 9602+15128","tetracycline","Resistant",,,,,"MIC",,,,,,,,,"Laboratory Method",,"24957517"
1280,"1280.8198","Staphylococcus aureus C00013191","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
760798,"760798.3","Streptococcus pneumoniae GA19101","tetracycline","Resistant",">8",">","8",,,,,,,,,,,"Laboratory Method",,
1313,"1313.6380","Streptococcus pneumoniae strain R34-3039","tetracycline",,"<=0.50","<=","0.50","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1280,"1280.9969","Staphylococcus aureus C00013163","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.19880","Streptococcus pneumoniae strain GPSC37","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.5703","Streptococcus pneumoniae strain 09B02770","tetracycline","Resistant",,,,,"MIC",,,,,,,,,"Laboratory Method",,
1280,"1280.8645","Staphylococcus aureus C00002658","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.21054","Streptococcus pneumoniae strain GPSC139","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.18957","Streptococcus pneumoniae strain GPSC1","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.19358","Streptococcus pneumoniae strain GPSC79","tetracycline","Intermediate",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
1313,"1313.6183","Streptococcus pneumoniae strain R34-3020","tetracycline",,"<=0.50","<=","0.50","mg/L","MIC",,,,,,,,,"Laboratory Method",,"23644493"
1069627,"1069627.3","Streptococcus pneumoniae GA04672","tetracycline","Susceptible","0.5","=","0.5",,,,,,,,,,,"Laboratory Method",,
1280,"1280.10034","Staphylococcus aureus C00013374","tetracycline","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1313,"1313.19208","Streptococcus pneumoniae strain GPSC43","tetracycline","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"31196809"
