JGI_Portal_ID,Species,Order,Class,Clade,Phylum,Pathogen,Lifestyle,Lifestyle_2,Unknown_Lifestyle,S,N,B,OB,HB,MP,P,O,ECM,ENM,Mycorrhizal,E,EP,L,LF,EL,C,PY,BY,T,A,AL,HY,BR,WR,Wood_Decay,FUNGuild,Plant,Fungus,Vertebrate,Invertebrate,Gymnosperms,Angiosperms,Main_Stem,Leaves,Roots,Fruit,Seeds,MycoCosm Genome Reference Paper
Metac1,Metarhizium acridum CQMa 102,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,P,P,Known,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,"Gao Q, Jin K, Ying SH, Zhang Y, Xiao G, Shang Y, Duan Z, Hu X, Xie XQ, Zhou G, Peng G, Luo Z, Huang W, Wang B, Fang W, Wang S, Zhong Y, Ma LJ, St Leger RJ, Zhao GP, Pei Y, Feng MG, Xia Y, Wang C Genome sequencing and comparative transcriptomics of the model entomopathogenic fungi Metarhizium anisopliae and M. acridum. PLoS Genet. 2011 Jan 6;7(1):e1001264. doi: 10.1371/journal.pgen.1001264."
Metro1,Metarhizium robertsii ARSEF 23,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"P, E",P  E,Known,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,"Hu X, Xiao G, Zheng P, Shang Y, Su Y, Zhang X, Liu X, Zhan S, St Leger RJ, Wang C Trajectory and genomic determinants of fungal-pathogen speciation and host adaptation. Proc Natl Acad Sci U S A. 2014 Nov 25;111(47):16796-801. doi: 10.1073/pnas.1412662111. Epub 2014 Nov 3.     AND        Gao Q, Jin K, Ying SH, Zhang Y, Xiao G, Shang Y, Duan Z, Hu X, Xie XQ, Zhou G, Peng G, Luo Z, Huang W, Wang B, Fang W, Wang S, Zhong Y, Ma LJ, St Leger RJ, Zhao GP, Pei Y, Feng MG, Xia Y, Wang C Genome sequencing and comparative transcriptomics of the model entomopathogenic fungi Metarhizium anisopliae and M. acridum. PLoS Genet. 2011 Jan 6;7(1):e1001264. doi: 10.1371/journal.pgen.1001264."
Micbo1,Microdochium bolleyi J235TASD1 v1.0,Xylariales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"E, S, O",E  S  O,Known,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,"David AS, Haridas S, LaButti K, Lim J, Lipzen A, Wang M, Barry K, Grigoriev IV, Spatafora JW, May G Draft Genome Sequence of Microdochium bolleyi, a Dark Septate Fungal Endophyte of Beach Grass. Genome Announc. 2016 Apr 28;4(2). pii: 4/2/e00270-16. doi: 10.1128/genomeA.00270-16."
Spoth2,Myceliophthora thermophila (Sporotrichum thermophile) v2.0,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO,"T, S",T  S,Known,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,"Berka, R.M., I.V. Grigoriev, R. Otillar, A. Salamov, J. Grimwood, I. Reid, N. Ishmael, T. John, C. Darmond, M.-C. Moisan, B. Henrissat, P.M. Coutinho, V. Lombard, D.O. Natvig, E. Lindquist, J. Schmutz, S. Lucas, P. Harris, J. Powlowski, A. Bellemare, D. Taylor, G. Butler, R.P. de Vries, I.E. Allijn, J. van den Brink, S. Ushinsky, R. Storms, A.J. Powell, I.T. Paulsen, L.D.H. Elbournei, S.E. Baker, J. Magnuson, S. LaBoissiere, A.J. Clutterbuck, D. Martinez, M. Wogulis, A. Lopez de Leon, M.W. Rey and A. Tsang. 2011. Comparative genomic analysis of the thermophilic biomass-degrading fungi Myceliophthora thermophila and Thielavia terrestris. Nature Biotechnology doi:10.1038/nbt.1976."
Necha2,Nectria haematococca v2.0,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"S, N",S  N,Known,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,YES,NO,YES,YES,NO,YES,YES,YES,YES,,,"Jeffrey J. Coleman Steve D. Rounsley, Marianela Rodriguez-Carres1, Alan Kuo, Catherine C. Wasmann, Jane Grimwood, Jeremy Schmutz, Masatoki Taga, Gerard J. White1, Shiguo Zhou, David C. Schwartz, Michael Freitag, Li-jun Ma11, Etienne G. J. Danchin, Bernard Henrissat, Pedro M. Coutinho, David R. Nelson, Dave Straney, Carolyn A. Napoli, Bridget M. Barker, Michael Gribskov, Scott Kroken, István Molnár, Christopher Rensing, John C. Kennell, Jorge Zamora1, Mark L. Farman, Eric U. Selker, Asaf Salamof, Harris Shapiro, Jasmyn Pangilinan, Erika Lindquist, Casey Lamers, Igor V. Grigoriev, David M. Geiser, Sarah F. Covert, Esteban Temporini1, Hans D. VanEtten,Martijn Rep The Genome of Nectria haematococca: Contribution of Supernumerary Chromosomes to Gene Expansion PLoS Genetics , August 2009"
Neodi1,Neonectria ditissima R09/05,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"E, N, O",E  N  O,Known,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Symbiotroph – Endophyte,YES,NO,NO,NO,NO,YES,YES,NO,NO,,,"Gomez-Cortecero A, Harrison RJ, Armitage AD Draft Genome Sequence of a European Isolate of the Apple Canker Pathogen Neonectria ditissima. Genome Announc. 2015 Nov 19;3(6). pii: 3/6/e01243-15. doi: 10.1128/genomeA.01243-15."
Neucr_trp3_1,Neurospora crassa FGSC 73 trp-3 v1.0,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO,"S, E",S  E,Known,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Pathotroph-Saprotroph – Endophyte-Plant Pathogen-Undefined Saprotroph,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,"Baker SE, Schackwitz W, Lipzen A, Martin J, Haridas S, LaButti K, Grigoriev IV, Simmons BA, McCluskey K Draft Genome Sequence of Neurospora crassa Strain FGSC 73. Genome Announc. 2015 Apr 2;3(2). pii: 3/2/e00074-15. doi: 10.1128/genomeA.00074-15."
Neucr2,Neurospora crassa OR74A v2.0,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO,"S, E",S  E,Known,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Pathotroph-Saprotroph – Endophyte-Plant Pathogen-Undefined Saprotroph,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,"Galagan JE, Calvo SE, Borkovich KA, Selker EU, Read ND, Jaffe D, FitzHugh W, Ma LJ, Smirnov S, Purcell S, Rehman B, Elkins T, Engels R, Wang S, Nielsen CB, Butler J, Endrizzi M, Qui D, Ianakiev P, Bell-Pedersen D, Nelson MA, Werner-Washburne M, Selitrennikoff CP, Kinsey JA, Braun EL, Zelter A, Schulte U, Kothe GO, Jedd G, Mewes W, Staben C, Marcotte E, Greenberg D, Roy A, Foley K, Naylor J, Stange-Thomann N, Barrett R, Gnerre S, Kamal M, Kamvysselis M, Mauceli E, Bielke C, Rudd S, Frishman D, Krystofova S, Rasmussen C, Metzenberg RL, Perkins DD, Kroken S, Cogoni C, Macino G, Catcheside D, Li W, Pratt RJ, Osmani SA, DeSouza CP, Glass L, Orbach MJ, Berglund JA, Voelker R, Yarden O, Plamann M, Seiler S, Dunlap J, Radford A, Aramayo R, Natvig DO, Alex LA, Mannhaupt G, Ebbole DJ, Freitag M, Paulsen I, Sachs MS, Lander ES, Nusbaum C, Birren B The genome sequence of the filamentous fungus Neurospora crassa. Nature. 2003 Apr 24;422(6934):859-68. doi: 10.1038/nature01554."
Neute_mat_a1,Neurospora tetrasperma FGSC 2509 mat a v1.0,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO,"S, PY",S  PY,Known,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,"Ellison CE, Stajich JE, Jacobson DJ, Natvig DO, Lapidus A, Foster B, Aerts A, Riley R, Lindquist EA, Grigoriev IV, Taylor JW Massive changes in genome architecture accompany the transition to self-fertility in the filamentous fungus Neurospora tetrasperma. Genetics. 2011 Sep;189(1):55-69. doi: 10.1534/genetics.111.130690. Epub 2011 Jul 12."
Ophnu1,Ophiostoma novo-ulmi subsp. novo-ulmi H327,Ophiostomatales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"S, HB",S  HB,Known,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Pathotroph – Plant Pathogen,YES,NO,NO,NO,NO,YES,YES,NO,NO,,,"Forgetta V, Leveque G, Dias J, Grove D, Lyons R Jr, Genik S, Wright C, Singh S, Peterson N, Zianni M, Kieleczawa J, Steen R, Perera A, Bintzler D, Adams S, Hintz W, Jacobi V, Bernier L, Levesque R, Dewar K Sequencing of the Dutch elm disease fungus genome using the Roche/454 GS-FLX Titanium System in a comparison of multiple genomics core facilities. J Biomol Tech. 2013 Apr;24(1):39-49. doi: 10.7171/jbt.12-2401-005. AND Comeau AM, Dufour J, Bouvet GF, Jacobi V, Nigg M, Henrissat B, Laroche J, Levesque RC, Bernier L Functional annotation of the Ophiostoma novo-ulmi genome: insights into the phytopathogenicity of the fungal agent of Dutch elm disease. Genome Biol Evol. 2014 Dec 24;7(2):410-30. doi: 10.1093/gbe/evu281."
Ophpic1,Ophiostoma piceae UAMH 11346,Ophiostomatales,Sordariomycetes,Pezizomycotina,Ascomycota,NO,S,S,Known,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,"Haridas S, Wang Y, Lim L, Massoumi Alamouti S, Jackman S, Docking R, Robertson G, Birol I, Bohlmann J, Breuil C The genome and transcriptome of the pine saprophyte Ophiostoma piceae, and a comparison with the bark beetle-associated pine pathogen Grosmannia clavigera. BMC Genomics. 2013 Jun 2;14:373. doi: 10.1186/1471-2164-14-373."
Phaal1,Phaeoacremonium aleophilum UCRPA7,Calosphaeriales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"E, S, HB",E  S  HB,Known,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,YES,YES,NO,YES,,,"Blanco-Ulate B, Rolshausen P, Cantu D Draft Genome Sequence of the Ascomycete Phaeoacremonium aleophilum Strain UCR-PA7, a Causal Agent of the Esca Disease Complex in Grapevines. Genome Announc. 2013 Jun 27;1(3). pii: 1/3/e00390-13. doi: 10.1128/genomeA.00390-13."
Pocchl1,Pochonia chlamydosporia 170,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"MP, P, S, E",MP  P  S  E,Known,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,None,NO,YES,NO,YES,NO,NO,NO,NO,NO,,,"Wang G, Liu Z, Lin R, Li E, Mao Z, Ling J, Yang Y, Yin WB, Xie B Biosynthesis of Antibiotic Leucinostatins in Bio-control Fungus Purpureocillium lilacinum and Their Inhibition on Phytophthora Revealed by Genome Mining. PLoS Pathog. 2016 Jul 14;12(7):e1005685. doi: 10.1371/journal.ppat.1005685. eCollection 2016 Jul."
Podan3,Podospora anserina S mat+,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO,"C, S",C  S,Known,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,"Espagne E, Lespinet O, Malagnac F, Da Silva C, Jaillon O, Porcel BM, Couloux A, Aury JM, Segurens B, Poulain J, Anthouard V, Grossetete S, Khalili H, Coppin E, Dequard-Chablat M, Picard M, Contamine V, Arnaise S, Bourdais A, Berteaux-Lecellier V, Gautheret D, de Vries RP, Battaglia E, Coutinho PM, Danchin EG, Henrissat B, Khoury RE, Sainsard-Chanet A, Boivin A, Pinan-Lucarre B, Sellem CH, Debuchy R, Wincker P, Weissenbach J, Silar P The genome sequence of the model ascomycete fungus Podospora anserina. Genome Biol. 2008;9(5):R77. doi: 10.1186/gb-2008-9-5-r77. Epub 2008 May 6."
Pseve2,Pseudomassariella vexata CBS 129021 v1.0,Xylariales,Sordariomycetes,Pezizomycotina,Ascomycota,UNKNOWN,S,S,Known,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,"Mondo SJ, Dannebaum RO, Kuo RC, Louie KB, Bewick AJ, LaButti K, Haridas S, Kuo A, Salamov A, Ahrendt SR, Lau R, Bowen BP, Lipzen A, Sullivan W, Andreopoulos BB, Clum A, Lindquist E, Daum C, Northen TR, Kunde-Ramamoorthy G, Schmitz RJ, Gryganskyi A, Culley D, Magnuson J, James TY, O'Malley MA, Stajich JE, Spatafora JW, Visel A, Grigoriev IV Widespread adenine N6-methylation of active genes in fungi. Nat Genet. 2017 Jun;49(6):964-968. doi: 10.1038/ng.3859. Epub 2017 May 8."
Thite2,Thielavia terrestris v2.0,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO,"S, T",S  T,Known,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,"Berka RM, Grigoriev IV, Otillar R, Salamov A, Grimwood J, Reid I, Ishmael N, John T, Darmond C, Moisan MC, Henrissat B, Coutinho PM, Lombard V, Natvig DO, Lindquist E, Schmutz J, Lucas S, Harris P, Powlowski J, Bellemare A, Taylor D, Butler G, de Vries RP, Allijn IE, van den Brink J, Ushinsky S, Storms R, Powell AJ, Paulsen IT, Elbourne LD, Baker SE, Magnuson J, Laboissiere S, Clutterbuck AJ, Martinez D, Wogulis M, de Leon AL, Rey MW, Tsang A Comparative genomic analysis of the thermophilic biomass-degrading fungi Myceliophthora thermophila and Thielavia terrestris. Nat Biotechnol. 2011 Oct 2;29(10):922-7. doi: 10.1038/nbt.1976."
Tolinf1,Tolypocladium inflatum NRRL 8044,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"S, P",S  P,Known,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,None,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,"Bushley KE, Raja R, Jaiswal P, Cumbie JS, Nonogaki M, Boyd AE, Owensby CA, Knaus BJ, Elser J, Miller D, Di Y, McPhail KL, Spatafora JW The genome of tolypocladium inflatum: evolution, organization, and expression of the cyclosporin biosynthetic gene cluster. PLoS Genet. 2013 Jun;9(6):e1003496. doi: 10.1371/journal.pgen.1003496. Epub 2013 Jun 20."
Trias1,Trichoderma asperellum CBS 433.97 v1.0,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"S, MP, B, N, E",S  MP  B  N  E,Known,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,YES,NO,YES,NO,NO,NO,NO,NO,,,"Druzhinina IS, Chenthamara K, Zhang J, Atanasova L, Yang D, Miao Y, Rahimi MJ, Grujic M, Cai F, Pourmehdi S, Salim KA, Pretzer C, Kopchinskiy AG, Henrissat B, Kuo A, Hundley H, Wang M, Aerts A, Salamov A, Lipzen A, LaButti K, Barry K, Grigoriev IV, Shen Q, Kubicek CP Massive lateral transfer of genes encoding plant cell wall-degrading enzymes to the mycoparasitic fungus Trichoderma from its plant-associated hosts. PLoS Genet. 2018 Apr 9;14(4):e1007322. doi: 10.1371/journal.pgen.1007322. eCollection 2018 Apr."
Triatrob1,Trichoderma atrobrunneum ITEM 908,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"S, MP, B, N, E",S  MP  B  N  E,Known,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,None,NO,YES,NO,YES,NO,NO,NO,NO,NO,,,"Fanelli F, Liuzzi VC, Logrieco AF, Altomare C Genomic characterization of Trichoderma atrobrunneum (T. harzianum species complex) ITEM 908: insight into the genetic endowment of a multi-target biocontrol strain. BMC Genomics. 2018 Sep 11;19(1):662. doi: 10.1186/s12864-018-5049-3."
Trici4,Trichoderma citrinoviride TUCIM 6016 v4.0,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"S, MP, B, N, E, O",S  MP  B  N  E  O,Known,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,YES,YES,NO,NO,NO,NO,NO,NO,,,"Druzhinina IS, Chenthamara K, Zhang J, Atanasova L, Yang D, Miao Y, Rahimi MJ, Grujic M, Cai F, Pourmehdi S, Salim KA, Pretzer C, Kopchinskiy AG, Henrissat B, Kuo A, Hundley H, Wang M, Aerts A, Salamov A, Lipzen A, LaButti K, Barry K, Grigoriev IV, Shen Q, Kubicek CP Massive lateral transfer of genes encoding plant cell wall-degrading enzymes to the mycoparasitic fungus Trichoderma from its plant-associated hosts. PLoS Genet. 2018 Apr 9;14(4):e1007322. doi: 10.1371/journal.pgen.1007322. eCollection 2018 Apr."
Trigam1,Trichoderma gamsii T6085,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"MP, E",MP  E,Known,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Symbiotroph – Endophyte,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,"Baroncelli R, Zapparata A, Piaggeschi G, Sarrocco S, Vannacci G Draft Whole-Genome Sequence of Trichoderma gamsii T6085, a Promising Biocontrol Agent of Fusarium Head Blight on Wheat. Genome Announc. 2016 Feb 18;4(1). pii: 4/1/e01747-15. doi: 10.1128/genomeA.01747-15."
Triha1,Trichoderma harzianum CBS 226.95 v1.0,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"S, MP, B, N, E, O",S  MP  B  N  E  O,Known,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,"Druzhinina IS, Chenthamara K, Zhang J, Atanasova L, Yang D, Miao Y, Rahimi MJ, Grujic M, Cai F, Pourmehdi S, Salim KA, Pretzer C, Kopchinskiy AG, Henrissat B, Kuo A, Hundley H, Wang M, Aerts A, Salamov A, Lipzen A, LaButti K, Barry K, Grigoriev IV, Shen Q, Kubicek CP Massive lateral transfer of genes encoding plant cell wall-degrading enzymes to the mycoparasitic fungus Trichoderma from its plant-associated hosts. PLoS Genet. 2018 Apr 9;14(4):e1007322. doi: 10.1371/journal.pgen.1007322. eCollection 2018 Apr."
Trilo3,Trichoderma longibrachiatum ATCC 18648 v3.0,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"S, MP, N, O",S  MP  N  O,Known,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,YES,YES,YES,NO,NO,NO,NO,NO,,,"Druzhinina IS, Chenthamara K, Zhang J, Atanasova L, Yang D, Miao Y, Rahimi MJ, Grujic M, Cai F, Pourmehdi S, Salim KA, Pretzer C, Kopchinskiy AG, Henrissat B, Kuo A, Hundley H, Wang M, Aerts A, Salamov A, Lipzen A, LaButti K, Barry K, Grigoriev IV, Shen Q, Kubicek CP Massive lateral transfer of genes encoding plant cell wall-degrading enzymes to the mycoparasitic fungus Trichoderma from its plant-associated hosts. PLoS Genet. 2018 Apr 9;14(4):e1007322. doi: 10.1371/journal.pgen.1007322. eCollection 2018 Apr."
TrireRUTC30_1,Trichoderma reesei RUT C-30 v1.0,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,NO,S,S,Known,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,"Jourdier E, Baudry L, Poggi-Parodi D, Vicq Y, Koszul R, Margeot A, Marbouty M, Bidard F Proximity ligation scaffolding and comparison of two Trichoderma reesei strains genomes. Biotechnol Biofuels. 2017 Jun 12;10:151. doi: 10.1186/s13068-017-0837-6. eCollection 2017.     AND     Koike H., Aerts A, LaButti K, Grigoriev IV, Baker SE (2013) Comparative genomics analysis of Trichoderma reesei strains. Ind. Biotech.9(6):352-367."
Trire2,Trichoderma reesei v2.0,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,NO,S,S,Known,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,"Martinez D, Berka RM, Henrissat B, Saloheimo M, Arvas M, Baker SE, Chapman J, Chertkov O, Coutinho PM, Cullen D, Danchin EG, Grigoriev IV, Harris P, Jackson M, Kubicek CP, Han CS, Ho I, Larrondo LF, de Leon AL, Magnuson JK, Merino S, Misra M, Nelson B, Putnam N, Robbertse B, Salamov AA, Schmoll M, Terry A, Thayer N, Westerholm-Parvinen A, Schoch CL, Yao J, Barbote R, Nelson MA, Detter C, Bruce D, Kuske CR, Xie G, Richardson P, Rokhsar DS, Lucas SM, Rubin EM, Dunn-Coleman N, Ward M, Brettin TS. (2008) Genome sequencing and analysis of the biomass-degrading fungus Trichoderma reesei. Nat Biotechnol. 26, 553-560."
Ustvir1,Ustilaginoidea virens,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,B,B,Known,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Pathotroph – Plant Pathogen,YES,NO,NO,NO,NO,YES,YES,YES,NO,,,"Kumagai T, Ishii T, Terai G, Umemura M, Machida M, Asai K Genome Sequence of Ustilaginoidea virens IPU010, a Rice Pathogenic Fungus Causing False Smut. Genome Announc. 2016 May 5;4(3). pii: 4/3/e00306-16. doi: 10.1128/genomeA.00306-16."
Veral1,Verticillium alfalfae VaMs.102,Glomerallales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"S, HB, P",S  HB  P,Known,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,YES,NO,NO,YES,NO,YES,YES,NO,YES,,,"Klosterman SJ, Subbarao KV, Kang S, Veronese P, Gold SE, Thomma BP, Chen Z, Henrissat B, Lee YH, Park J, Garcia-Pedrajas MD, Barbara DJ, Anchieta A, de Jonge R, Santhanam P, Maruthachalam K, Atallah Z, Amyotte SG, Paz Z, Inderbitzin P, Hayes RJ, Heiman DI, Young S, Zeng Q, Engels R, Galagan J, Cuomo CA, Dobinson KF, Ma LJ Comparative genomics yields insights into niche adaptation of plant vascular wilt pathogens. PLoS Pathog. 2011 Jul;7(7):e1002137. doi: 10.1371/journal.ppat.1002137. Epub 2011 Jul 28."
Verda1,Verticillium dahliae VdLs.17,Glomerallales,Sordariomycetes,Pezizomycotina,Ascomycota,YES,"S, HB",S  HB,Known,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,YES,YES,NO,YES,,,"Klosterman SJ, Subbarao KV, Kang S, Veronese P, Gold SE, Thomma BP, Chen Z, Henrissat B, Lee YH, Park J, Garcia-Pedrajas MD, Barbara DJ, Anchieta A, de Jonge R, Santhanam P, Maruthachalam K, Atallah Z, Amyotte SG, Paz Z, Inderbitzin P, Hayes RJ, Heiman DI, Young S, Zeng Q, Engels R, Galagan J, Cuomo CA, Dobinson KF, Ma LJ Comparative genomics yields insights into niche adaptation of plant vascular wilt pathogens. PLoS Pathog. 2011 Jul;7(7):e1002137. doi: 10.1371/journal.ppat.1002137. Epub 2011 Jul 28."
Aciri1_iso,Acidomyces richmondensis BFW,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota,NO,"S, A, T",S  A  T,Known,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,"Mosier AC, Miller CS, Frischkorn KR, Ohm RA, Li Z, LaButti K, Lapidus A, Lipzen A, Chen C, Johnson J, Lindquist EA, Pan C, Hettich RL, Grigoriev IV, Singer SW, Banfield JF Fungi Contribute Critical but Spatially Varying Roles in Nitrogen and Carbon Cycling in Acid Mine Drainage. Front Microbiol. 2016 Mar 3;7:238. doi: 10.3389/fmicb.2016.00238. eCollection 2016."
Aciri1_meta,Acidomyces richmondensis BFW,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota,NO,"S, A, T",S  A  T,Known,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,"Mosier AC, Miller CS, Frischkorn KR, Ohm RA, Li Z, LaButti K, Lapidus A, Lipzen A, Chen C, Johnson J, Lindquist EA, Pan C, Hettich RL, Grigoriev IV, Singer SW, Banfield JF Fungi Contribute Critical but Spatially Varying Roles in Nitrogen and Carbon Cycling in Acid Mine Drainage. Front Microbiol. 2016 Mar 3;7:238. doi: 10.3389/fmicb.2016.00238. eCollection 2016."
