Genome        DMAT        HYBRID        NRPS        NRPS-Like        PKS        PKS-Like        TC        Total
Phyllosticta citribraziliensis CBS 100098 v1.0        0        1        3        9        5        2        2        22
Phyllosticta citricarpa CBS 127454 v1.0        0        1        4        8        5        2        2        22
Phyllosticta citrichinaensis CBS 130529 v1.0        0        1        4        9        5        2        0        21
Phyllosticta sp. CPC 27169 v1.0        0        1        3        7        5        2        2        20
Phyllosticta sp. CPC 27913 v1.0        0        1        4        9        5        2        2        23
Piedraia hortae v1.1        0        0        2        1        2        2        0        7
Pleomassaria siparia v1.0        2        0        3        5        13        2        1        26
Pleospora avicennia ATCC 66911 v1.0        3        3        4        10        20        2        4        46
Polychaeton citri v1.0        1        0        7        9        6        2        0        25
Polyplosphaeria fusca CBS 125425 v1.0        1        0        5        6        15        3        0        30
Pseudocercospora (Mycosphaerella) fijiensis v2.0        0        1        8        7        6        2        2        26
Pseudovirgaria hyperparasitica CBS 121739 v1.0        0        5        8        5        11        2        6        37
Pyrenochaeta lycopersici MPI-SDFR-AT-0127 v1.0        2        0        8        7        17        2        3        39
Pyrenochaeta sp. DS3sAY3a v1.0        0        0        6        8        7        3        1        25
Pyrenophora teres f. teres        1        1        24        11        17        3        1        58
Pyrenophora tritici-repentis        0        1        10        10        14        3        1        39
Rhizodiscina lignyota CBS 133067 v1.0        0        2        4        8        10        2        0        26
Rhytidhysteron rufulum        1        5        11        10        28        4        5        64
Saccharata proteae CBS 121410 v1.0        0        1        2        10        3        2        1        19
Septoria musiva SO2202 v1.0        0        2        7        8        9        2        2        30
Septoria populicola v1.0        0        0        8        7        9        2        3        29
Setomelanomma holmii CBS 110217 v1.0        1        0        6        7        7        3        2        26
Setosphaeria turcica Et28A v2.0        2        2        8        9        22        5        1        49
Setosphaeria turcica NY001 v2.0        2        1        10        9        23        3        1        49
Sporormia fimetaria v1.0        1        0        3        2        6        2        0        14
Stagonospora nodorum SN15 v2.0        2        1        9        6        13        1        2        34
Stagonospora sp. SRC1lsM3a v1.0        2        2        6        6        16        3        4        39
Stemphylium lycopersici CIDEFI-216        0        1        5        6        14        2        2        30
Stomiopeltis betulae CBS114420 v1.0        0        2        6        4        15        2        0        29
Teichospora sp. FL1471 v1.0        1        1        4        11        17        3        4        41
Teratosphaeria nubilosa CBS 116005 v1.0        0        2        4        9        6        2        1        24
Tothia fuscella CBS 130266 v1.0        0        2        4        5        5        1        0        17
Trematosphaeria pertusa CBS 122368 v1.0        2        0        6        9        18        3        2        40
Trichodelitschia bisporula CBS 262.69 v1.0        0        0        2        1        1        2        0        6
Trypethelium eluteriae v1.0        5        1        3        10        33        2        7        61
Venturia inaequalis        2        0        4        9        6        2        0        23
Venturia pirina        2        1        3        9        8        2        1        26
Verruconis gallopava        0        0        2        3        5        2        0        12
